scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,26240,25689,6,1.5625,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021294Z
2022-09-01,26240,21972,7,1.5031,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021301Z
2022-09-01,26240,19089,8,1.4301,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021308Z
2022-09-01,26240,16811,9,1.317,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021314Z
2022-09-01,26282,23902,1,2.1884,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064531Z
2022-09-01,26282,19086,2,1.7029,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064538Z
2022-09-01,26282,7475,3,1.4996,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064545Z
2022-09-01,26282,23903,4,1.3235,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064552Z
2022-09-01,26282,24118,5,1.23,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064558Z
2022-09-01,26282,7651,6,1.0731,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064565Z
2022-09-01,26282,16527,7,0.9979,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064572Z
2022-09-01,26282,21973,8,0.9105,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.064579Z
2022-09-01,26423,21973,1,1.9032,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.980485Z
2022-09-01,26423,19341,2,1.7949,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.980492Z
2022-09-01,26423,19336,3,1.7009,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.980499Z
2022-09-01,26507,7038,1,4.7077,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616100Z
2022-09-01,26507,7651,2,4.0999,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616107Z
2022-09-01,26507,7026,3,3.7794,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616114Z
2022-09-01,26507,19088,4,3.7128,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616121Z
2022-09-01,26507,7476,5,2.9185,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616128Z
2022-09-01,26507,19341,6,2.9133,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616134Z
2022-09-01,26507,19086,7,2.6996,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616141Z
2022-09-01,26507,7475,8,2.4681,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.616151Z
2022-09-01,26647,811,1,4.4641,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929444Z
2022-09-01,26647,808,2,4.1512,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929452Z
2022-09-01,26647,7026,3,4.0569,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929458Z
2022-09-01,26647,24880,4,4.0505,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929465Z
2022-09-01,26647,21967,5,3.8311,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929472Z
